title,company,location,salary,job_type,work_from_home,date_posted,url
Contract Full-Stack JavaScript Developer - AI Platform,Opus Recruitment Solutions Ltd,London,£500 - £600 per day,"Contract, full-time",False,5 hrs ago,https://www.reed.co.uk/jobs/contract-full-stack-javascript-developer-ai-platform/56778473?source=searchResults&filter=%2Fjobs%2Fcontract-vuejs-jobs-in-rg7-1ss%3Fproximity%3D50
Full Stack Developer (UK Remote) - Node / Vue,DBCharles Recruitment Limited,"Henley-on-Thames, Oxfordshire","£40,000 - £45,000 per annum, inc benefits","Permanent, full-time",True,Yesterday,https://www.reed.co.uk/jobs/full-stack-developer-uk-remote-node-vue/56771821?source=searchResults&filter=%2Fjobs%2Fpermanent-vuejs-jobs-in-rg7-1ss%3Fproximity%3D50
Senior Full-Stack Engineer - Contract - Remote,Method Resourcing,London,Salary negotiable,"Contract, full-time",True,3 days ago,https://www.reed.co.uk/jobs/senior-full-stack-engineer-contract-remote/56767249?source=searchResults&filter=%2Fjobs%2Fcontract-vuejs-jobs-in-rg7-1ss%3Fproximity%3D50
Node JS Developer role,Opus Recruitment Solutions Ltd,London,£300 - £330 per day,"Contract, full-time",False,3 days ago,https://www.reed.co.uk/jobs/node-js-developer-role/56767459?source=searchResults&filter=%2Fjobs%2Fcontract-vuejs-jobs-in-rg7-1ss%3Fproximity%3D50
Full Stack NextJS Developer,INTEC SELECT LIMITED,London,"£90,000 - £110,000 per annum","Permanent, full-time",False,3 days ago,https://www.reed.co.uk/jobs/full-stack-nextjs-developer/56769841?source=searchResults&filter=%2Fjobs%2Fpermanent-vuejs-jobs-in-rg7-1ss%3Fproximity%3D50
Full Stack NextJS Developer,INTEC SELECT LIMITED,London,"£90,000 - £110,000 per annum","Permanent, full-time",False,3 days ago,https://www.reed.co.uk/jobs/full-stack-nextjs-developer/56769866?source=searchResults&filter=%2Fjobs%2Fpermanent-vuejs-jobs-in-rg7-1ss%3Fproximity%3D50
Full Stack Developer (PoC + Application Server Technologies),Hays Specialist Recruitment Limited,"Basingstoke, Hampshire",£537 per day,"Contract, full-time",False,4 days ago,https://www.reed.co.uk/jobs/full-stack-developer-poc--application-server-technologies/56764709?source=searchResults&filter=%2Fjobs%2Fcontract-vuejs-jobs-in-rg7-1ss%3Fproximity%3D50
App Developer | Outside IR35,Sanderson,"South East London, London",£550 - £650 per day,"Contract, full-time",False,5 days ago,https://www.reed.co.uk/jobs/app-developer--outside-ir35/56759954?source=searchResults&filter=%2Fjobs%2Fcontract-vuejs-jobs-in-rg7-1ss%3Fproximity%3D50
Full Stack Engineer - Javascript + Python (Cloud GCP),Lorien,London,Salary negotiable,"Contract, full-time",False,5 days ago,https://www.reed.co.uk/jobs/full-stack-engineer-javascript--python-cloud-gcp/56755691?source=searchResults&filter=%2Fjobs%2Fcontract-vuejs-jobs-in-rg7-1ss%3Fproximity%3D50
Senior Frontend Engineer / Full Stack Product Engineer - Energy,MFK Recruitment,London,"£70,000 - £95,000 per annum","Permanent, full-time",False,7 April,https://www.reed.co.uk/jobs/senior-frontend-engineer-full-stack-product-engineer-energy/56753540?source=searchResults&filter=%2Fjobs%2Fpermanent-vuejs-jobs-in-rg7-1ss%3Fproximity%3D50
Frontend Engineer,Gold Group Ltd,London,"£50,000 - £65,000 per annum","Permanent, full-time",False,2 April,https://www.reed.co.uk/jobs/frontend-engineer/56739579?source=searchResults&filter=%2Fjobs%2Fpermanent-vuejs-jobs-in-rg7-1ss%3Fproximity%3D50
Frontend Software Engineer,Morgan McKinley,London,£600 - £685 per day,"Contract, full-time",False,1 April,https://www.reed.co.uk/jobs/frontend-software-engineer/56729087?source=searchResults&filter=%2Fjobs%2Fcontract-vuejs-jobs-in-rg7-1ss%3Fproximity%3D50
Frontend Developer,Aaron Wallis Sales Recruitment,"Milton Keynes, Buckinghamshire","£40,000 per annum","Permanent, full-time",False,31 March,https://www.reed.co.uk/jobs/frontend-developer/56719821?source=searchResults&filter=%2Fjobs%2Fpermanent-vuejs-jobs-in-rg7-1ss%3Fproximity%3D50
Senior Full Stack Web Developer,Profile 29,"Loughton, Essex","£80,000 - £100,000 per annum","Permanent, full-time",False,31 March,https://www.reed.co.uk/jobs/senior-full-stack-web-developer/56718402?source=searchResults&filter=%2Fjobs%2Fpermanent-vuejs-jobs-in-rg7-1ss%3Fproximity%3D50
"Web Developer (Javascript, PHP & Wordpress)",Randstad Technologies,London,"£30,000 - £40,000 per annum","Permanent, full-time",False,30 March,https://www.reed.co.uk/jobs/web-developer-javascript-php-wordpress/56716905?source=searchResults&filter=%2Fjobs%2Fpermanent-vuejs-jobs-in-rg7-1ss%3Fproximity%3D50
"React Front End Developer - London, UK (Fully Onsite)",Randstad Technologies,London,£300 - £365 per day,"Contract, full-time",False,30 March,https://www.reed.co.uk/jobs/react-front-end-developer-london-uk-fully-onsite/56716151?source=searchResults&filter=%2Fjobs%2Fcontract-vuejs-jobs-in-rg7-1ss%3Fproximity%3D50
Senior Endur Developer,Hays Specialist Recruitment Limited,London,£850 - £900 per day,"Contract, full-time",False,30 March,https://www.reed.co.uk/jobs/senior-endur-developer/56716766?source=searchResults&filter=%2Fjobs%2Fcontract-vuejs-jobs-in-rg7-1ss%3Fproximity%3D50
Senior Front End Engineer,Plexus,London,"£60,000 - £100,000 per annum","Permanent, full-time",True,27 March,https://www.reed.co.uk/jobs/senior-front-end-engineer/56710952?source=searchResults&filter=%2Fjobs%2Fpermanent-vuejs-jobs-in-rg7-1ss%3Fproximity%3D50
Web Developer,Granite Recruitment and Consulting Limited,London,"£30,000 - £40,000 per annum","Permanent, full-time",True,26 March,https://www.reed.co.uk/jobs/web-developer/56688249?source=searchResults&filter=%2Fjobs%2Fpermanent-vuejs-jobs-in-rg7-1ss%3Fproximity%3D50
Front End Developer,Circle Recruitment,"Luton, Bedfordshire","£50,000 - £60,000 per annum","Permanent, full-time",False,25 March,https://www.reed.co.uk/jobs/front-end-developer/56701241?source=searchResults&filter=%2Fjobs%2Fpermanent-vuejs-jobs-in-rg7-1ss%3Fproximity%3D50
Shopify Developer - London - £350 p/d outside IR35,Akkodis,London,"£14,400 - £16,800 per annum","Contract, full-time",False,24 March,https://www.reed.co.uk/jobs/shopify-developer-london-350-p-d-outside-ir35/56691726?source=searchResults&filter=%2Fjobs%2Fcontract-vuejs-jobs-in-rg7-1ss%3Fproximity%3D50
Senior UI React,Pontoon,London,£800 - £900 per day,"Contract, full-time",False,23 March,https://www.reed.co.uk/jobs/senior-ui-react/56689078?source=searchResults&filter=%2Fjobs%2Fcontract-vuejs-jobs-in-rg7-1ss%3Fproximity%3D50
Senior UI React / Java developer for Triforce Credit Project,cer Financial Ltd,London,"£750 - £1,000 per day","Contract, full-time",False,20 March,https://www.reed.co.uk/jobs/senior-ui-react-java-developer-for-triforce-credit-project/56680609?source=searchResults&filter=%2Fjobs%2Fcontract-vuejs-jobs-in-rg7-1ss%3Fproximity%3D50
Senior Fullstack Javascript Developer,83zero Ltd,London,"£80,000 - £88,000 per annum","Permanent, full-time",False,19 March,https://www.reed.co.uk/jobs/senior-fullstack-javascript-developer/56672919?source=searchResults&filter=%2Fjobs%2Fpermanent-vuejs-jobs-in-rg7-1ss%3Fproximity%3D50
